5.385474562644958496e-01,-2.465153485536575317e-01
-1.533612608909606934e+00,8.496277928352355957e-01
-1.190849304199218750e+00,-6.118963956832885742e-01
-1.533612608909606934e+00,4.842467308044433594e-01
-1.190849304199218750e+00,4.842467308044433594e-01
5.385474562644958496e-01,8.496277928352355957e-01
1.231864213943481445e+00,1.215008854866027832e+00
2.035741358995437622e-01,1.580389857292175293e+00
-4.975326061248779297e-01,1.580389857292175293e+00
-1.190849304199218750e+00,-1.342658400535583496e+00
